Brand,Model,Selling_Price,Original_MRP,Discount_Percentage,Customer_Rating,Availability,Specifications,Image_Source
Lenovo,Lenovo V14 Octa Core (2025) Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Pro) V14 Thin...,50913,92990,45,4.5,Available,"Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office 2021, Windows 11 Pro | 1 Year",No Image Link
Lenovo,Lenovo Yoga Pro 9 3.2K IPS AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphi...,251890,251890,0,0,Available,Intel Core Ultra 9 Processor | 32 GB LPDDR5X RAM | Windows 11 Home Operating System | 1 TB SSD | 40.64 cm (16 Inch) Touchscreen Display | Office Home & Student 2021 | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,56490,71290,20,4.2,Available,AMD Ryzen 7 Octa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo IdeaPad 3 Intel Core i5 10th Gen 10210U - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Li...,48490,64290,24,4.2,Available,Intel Core i5 Processor (10th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home & Student 2019 | 2 Years Warranty,No Image Link
Lenovo,Lenovo IdeaPad 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Lig...,93690,93690,0,2,Available,Intel Core i7 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo IdeaPad Slim 5 WUXGA IPS Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16I...,59990,84290,28,4.2,Available,Intel Core i5 Processor (12th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | 1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,No Image Link
Lenovo,Lenovo Ideapad 3 Intel Core i5 10th Gen 1035G1 - (4 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,41999,61490,31,3.6,Available,Intel Core i5 Processor (10th Gen) | 4 GB DDR4 RAM | 64 bit Windows 10 Operating System | 1 TB HDD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home and Student 2019 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15IRH8 Thin and Light Laptop,85390,85390,0,0,Available,Intel Core i7 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo IdeaPad 3 Intel Intel Core i3 10th Gen 10110U - (8 GB/1 TB HDD/Windows 11 Home) 15IML05 Thin an...,36990,57290,35,3.9,Available,Intel Core i3 Processor (10th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 1 TB HDD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home and Student 2019 | 2 Years Warranty,No Image Link
Lenovo,Lenovo IdeaPad 3 Intel Core i3 10th Gen 1005G1 - (8 GB/256 GB SSD/Windows 10 Home) 15IIL05 Laptop,36490,55890,34,4.3,Available,Intel Core i3 Processor (10th Gen) | 8 GB DDR4 RAM | 64 bit Windows 10 Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home & Student 2019 | 2 Years Warranty,No Image Link
Lenovo,Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Windo...,72999,110290,33,4.2,Available,Intel Core i7 Processor (13th Gen) | 32 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Lenvo Legion Pro 7 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graph...,500390,500390,0,4.7,Available,Intel Core i9 Processor (14th Gen) | 32 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 40.64 cm (16 Inch) Display | Office Home & Student 2021 | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo Ideapad Slim 3i (2021) Intel Core i3 10th Gen 10110U - (4 GB/256 GB SSD/Windows 11 Home) Ideapa...,36990,55190,32,3.7,Available,Intel Core i3 Processor (10th Gen) | 4 GB DDR4 RAM | 64 bit Windows 11 Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home and Student 2019 | 2 Year Onsite�Warranty,No Image Link
